ダウンロードした時刻：2024/09/14 09:38:10

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2021/8/18,27.0,8,1,3.0,0,8,1,5.8,0,8,1,0,1,8,1,5.2,8,1,29.5,8,1,6.5,8,1
2021/8/19,28.5,8,1,0.0,0,8,1,11.3,0,8,1,0,1,8,1,4.8,8,1,28.3,8,1,5.8,8,1
2021/8/20,28.7,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,4.4,8,1,27.7,8,1,2.8,8,1
2021/8/21,27.9,8,1,0.0,0,8,1,4.6,0,8,1,0,1,8,1,3.2,8,1,28.3,8,1,8.8,8,1
2021/8/22,28.5,8,1,0.0,0,8,1,4.6,0,8,1,0,1,8,1,2.5,8,1,29.4,8,1,10.0,8,1
2021/8/23,26.9,8,1,2.5,0,8,1,4.2,0,8,1,0,1,8,1,2.3,8,1,29.7,8,1,10.0,8,1
2021/8/24,27.5,8,1,0.0,0,8,1,4.2,0,8,1,0,1,8,1,2.8,8,1,28.6,8,1,9.8,8,1
2021/8/25,29.4,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,2.5,8,1,31.0,8,1,8.8,8,1
2021/8/26,30.5,8,1,0.0,0,8,1,8.1,0,8,1,0,1,8,1,2.3,8,1,32.1,8,1,4.8,8,1
2021/8/27,30.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.5,8,1,31.3,8,1,2.8,8,1
2021/8/28,29.8,8,1,0.0,0,8,1,8.9,0,8,1,0,1,8,1,2.4,8,1,31.5,8,1,3.0,8,1
2021/8/29,28.5,8,1,0.0,0,8,1,1.1,0,8,1,0,1,8,1,2.7,8,1,28.1,8,1,7.3,8,1
2021/8/30,29.2,8,1,0.0,0,8,1,8.9,0,8,1,0,1,8,1,2.8,8,1,31.8,8,1,4.8,8,1
2021/8/31,26.9,8,1,17.0,0,8,1,2.9,0,8,1,0,1,8,1,2.9,8,1,26.5,8,1,10.0,8,1
2021/9/1,20.7,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,2.2,8,1,23.2,8,1,10.0,8,1
2021/9/2,19.4,8,1,18.5,0,8,1,0.0,0,8,1,0,1,8,1,2.1,8,1,22.3,8,1,10.0,8,1
2021/9/3,19.7,8,1,17.0,0,8,1,0.0,0,8,1,0,1,8,1,2.2,8,1,22.8,8,1,10.0,8,1
2021/9/4,20.6,8,1,14.0,0,8,1,0.0,0,8,1,0,1,8,1,2.2,8,1,23.5,8,1,10.0,8,1
2021/9/5,21.0,8,1,10.0,0,8,1,0.3,0,8,1,0,1,8,1,2.7,8,1,21.6,8,1,9.3,8,1
2021/9/6,19.9,8,1,8.5,0,8,1,0.0,0,8,1,0,1,8,1,2.4,8,1,20.0,8,1,9.8,8,1
2021/9/7,20.4,8,1,0,1,8,1,4.0,0,8,1,0,1,8,1,2.5,8,1,17.0,8,1,8.0,8,1
2021/9/8,20.3,8,1,0.5,0,8,1,1.9,0,8,1,0,1,8,1,1.5,8,1,19.8,8,1,10.0,8,1
2021/9/9,20.5,8,1,14.0,0,8,1,0.0,0,8,1,0,1,8,1,1.6,8,1,23.3,8,1,10.0,8,1
2021/9/10,24.8,8,1,0.0,0,8,1,7.4,0,8,1,0,1,8,1,2.5,8,1,24.9,8,1,4.0,8,1
2021/9/11,25.0,8,1,0.0,0,8,1,1.2,0,8,1,0,1,8,1,1.6,8,1,26.9,8,1,10.0,8,1
2021/9/12,24.4,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,1.9,8,1,27.2,8,1,10.0,8,1
2021/9/13,25.2,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,2.6,8,1,22.2,8,1,10.0,8,1
2021/9/14,22.8,8,1,5.5,0,8,1,0.0,0,8,1,0,1,8,1,2.1,8,1,23.2,8,1,10.0,8,1
2021/9/15,22.9,8,1,1.5,0,8,1,5.8,0,8,1,0,1,8,1,2.3,8,1,22.5,8,1,8.0,8,1
2021/9/16,22.3,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,2.9,8,1,19.6,8,1,4.5,8,1
2021/9/17,22.3,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,2.4,8,1,21.0,8,1,10.0,8,1
2021/9/18,23.7,8,1,124.5,0,8,1,0.2,0,8,1,0,1,8,1,3.5,8,1,28.7,8,1,10.0,8,1
2021/9/19,23.9,8,1,0.0,0,8,1,9.8,0,8,1,0,1,8,1,3.1,8,1,21.4,8,1,3.5,8,1
2021/9/20,22.4,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,2.5,8,1,18.3,8,1,0.3,8,1
2021/9/21,22.7,8,1,0,1,8,1,5.8,0,8,1,0,1,8,1,2.2,8,1,20.4,8,1,6.0,8,1
2021/9/22,24.9,8,1,1.0,0,8,1,4.4,0,8,1,0,1,8,1,3.1,8,1,26.7,8,1,8.5,8,1
2021/9/23,26.6,8,1,0.0,0,8,1,9.3,0,8,1,0,1,8,1,2.3,8,1,26.3,8,1,5.3,8,1
2021/9/24,25.4,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,2.7,8,1,19.7,8,1,5.3,8,1
2021/9/25,22.1,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,3.5,8,1,19.5,8,1,9.5,8,1
2021/9/26,19.9,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,2.2,8,1,17.5,8,1,8.3,8,1
2021/9/27,20.1,8,1,0.0,0,8,1,2.9,0,8,1,0,1,8,1,2.7,8,1,17.7,8,1,6.0,8,1
2021/9/28,21.1,8,1,0,1,8,1,3.5,0,8,1,0,1,8,1,2.4,8,1,18.2,8,1,8.5,8,1
2021/9/29,21.9,8,1,0.0,0,8,1,4.7,0,8,1,0,1,8,1,2.1,8,1,20.3,8,1,7.3,8,1
2021/9/30,23.2,8,1,4.5,0,8,1,4.8,0,8,1,0,1,8,1,2.0,8,1,23.2,8,1,7.8,8,1
2021/10/1,19.0,8,1,113.0,0,8,1,0.0,0,8,1,0,1,8,1,3.8,8,1,20.0,8,1,10.0,8,1
2021/10/2,21.9,8,1,2.0,0,8,1,10.2,0,8,1,0,1,8,1,2.3,8,1,19.6,8,1,1.8,8,1
2021/10/3,22.1,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,2.4,8,1,19.6,8,1,1.0,8,1
2021/10/4,23.5,8,1,0,1,8,1,6.6,0,8,1,0,1,8,1,2.8,8,1,22.0,8,1,5.8,8,1
2021/10/5,23.9,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,2.8,8,1,21.9,8,1,5.0,8,1
2021/10/6,22.8,8,1,0.0,0,8,1,6.6,0,8,1,0,1,8,1,2.8,8,1,20.4,8,1,7.5,8,1
2021/10/7,21.3,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,1.7,8,1,20.3,8,1,10.0,8,1
2021/10/8,24.2,8,1,0.0,0,8,1,9.2,0,8,1,0,1,8,1,2.4,8,1,22.7,8,1,3.8,8,1
2021/10/9,22.7,8,1,0.0,0,8,1,3.0,0,8,1,0,1,8,1,3.0,8,1,22.7,8,1,7.8,8,1
2021/10/10,22.2,8,1,0.0,0,8,1,4.5,0,8,1,0,1,8,1,2.3,8,1,21.5,8,1,6.8,8,1
2021/10/11,24.0,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,2.6,8,1,23.4,8,1,1.3,8,1
2021/10/12,20.5,8,1,2.5,0,8,1,0.0,0,8,1,0,1,8,1,3.1,8,1,21.7,8,1,10.0,8,1
2021/10/13,17.4,8,1,10.5,0,8,1,0.0,0,8,1,0,1,8,1,2.3,8,1,19.2,8,1,10.0,8,1
2021/10/14,19.1,8,1,0.0,0,8,1,6.3,0,8,1,0,1,8,1,2.0,8,1,17.8,8,1,5.3,8,1
2021/10/15,20.7,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,1.9,8,1,19.3,8,1,5.0,8,1
2021/10/16,21.0,8,1,0.5,0,8,1,0.3,0,8,1,0,1,8,1,2.1,8,1,22.4,8,1,10.0,8,1
2021/10/17,15.7,8,1,13.5,0,8,1,0.0,0,8,1,0,1,8,1,3.3,8,1,15.4,8,1,8.0,8,1
2021/10/18,13.6,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,3.0,8,1,9.0,8,1,5.8,8,1
2021/10/19,13.5,8,1,9.0,0,8,1,0.0,0,8,1,0,1,8,1,2.6,8,1,11.6,8,1,10.0,8,1
2021/10/20,16.1,8,1,0.0,0,8,1,10.2,0,8,1,0,1,8,1,3.5,8,1,10.8,8,1,3.0,8,1
2021/10/21,15.4,8,1,0,1,8,1,4.6,0,8,1,0,1,8,1,2.6,8,1,8.9,8,1,6.8,8,1
2021/10/22,11.2,8,1,9.5,0,8,1,0.0,0,8,1,0,1,8,1,2.3,8,1,12.2,8,1,10.0,8,1
2021/10/23,13.6,8,1,0.0,0,8,1,10.0,0,8,1,0,1,8,1,3.2,8,1,9.4,8,1,1.8,8,1
2021/10/24,13.4,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,1.7,8,1,9.4,8,1,2.0,8,1
2021/10/25,14.0,8,1,5.5,0,8,1,1.7,0,8,1,0,1,8,1,2.3,8,1,11.0,8,1,10.0,8,1
2021/10/26,15.0,8,1,30.0,0,8,1,6.0,0,8,1,0,1,8,1,2.8,8,1,14.2,8,1,7.3,8,1
2021/10/27,14.5,8,1,1.0,0,8,1,0.1,0,8,1,0,1,8,1,1.5,8,1,15.1,8,1,8.5,8,1
2021/10/28,17.6,8,1,0.5,0,8,1,9.7,0,8,1,0,1,8,1,2.2,8,1,12.1,8,1,4.5,8,1
2021/10/29,15.3,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,2.6,8,1,9.1,8,1,0.3,8,1
2021/10/30,14.5,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,2.0,8,1,10.0,8,1,2.5,8,1
2021/10/31,13.6,8,1,2.0,0,8,1,0.0,0,8,1,0,1,8,1,1.6,8,1,12.5,8,1,9.3,8,1
2021/11/1,16.8,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,1.8,8,1,15.5,8,1,10.0,8,1
2021/11/2,17.7,8,1,0,1,8,1,5.3,0,8,1,0,1,8,1,1.9,8,1,15.7,8,1,8.5,8,1
2021/11/3,17.1,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,2.0,8,1,11.5,8,1,6.0,8,1
2021/11/4,15.5,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,1.8,8,1,9.9,8,1,7.0,8,1
2021/11/5,15.3,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,2.1,8,1,10.4,8,1,0.0,8,1
2021/11/6,14.9,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,2.0,8,1,10.9,8,1,3.8,8,1
2021/11/7,15.7,8,1,1.0,0,8,1,4.6,0,8,1,0,1,8,1,2.4,8,1,13.0,8,1,9.5,8,1
2021/11/8,16.4,8,1,1.5,0,8,1,6.7,0,8,1,0,1,8,1,2.4,8,1,14.4,8,1,7.5,8,1
2021/11/9,16.1,8,1,47.5,0,8,1,0.0,0,8,1,0,1,8,1,2.0,8,1,18.3,8,1,10.0,8,1
2021/11/10,16.0,8,1,0.0,0,8,1,7.3,0,8,1,0,1,8,1,3.3,8,1,10.8,8,1,4.8,8,1
2021/11/11,15.4,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,2.9,8,1,8.6,8,1,0.0,8,1
2021/11/12,14.5,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.1,8,1,8.3,8,1,4.8,8,1
2021/11/13,13.1,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,2.2,8,1,8.2,8,1,0.5,8,1
2021/11/14,14.0,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,1.9,8,1,9.8,8,1,6.8,8,1
2021/11/15,14.3,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,1.7,8,1,9.0,8,1,0.0,8,1
2021/11/16,14.2,8,1,0.0,0,8,1,5.6,0,8,1,0,1,8,1,2.2,8,1,10.8,8,1,9.8,8,1
2021/11/17,13.5,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,2.1,8,1,9.1,8,1,5.5,8,1
2021/11/18,12.6,8,1,0,1,8,1,4.0,0,8,1,0,1,8,1,1.8,8,1,10.5,8,1,7.8,8,1
2021/11/19,12.5,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,1.8,5,1,10.3,5,1,8.8,8,1
2021/11/20,13.2,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.0,8,1,10.3,8,1,0.0,8,1
2021/11/21,12.5,8,1,12.5,0,8,1,0.2,0,8,1,0,1,8,1,1.5,8,1,12.0,8,1,7.5,8,1
2021/11/22,13.5,8,1,24.5,0,8,1,0.0,0,8,1,0,1,8,1,2.2,8,1,15.3,8,1,10.0,8,1
2021/11/23,12.5,8,1,0.0,0,8,1,4.7,0,8,1,0,1,8,1,2.5,8,1,8.4,8,1,6.3,8,1
2021/11/24,11.4,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.9,8,1,6.5,8,1,0.0,8,1
2021/11/25,12.3,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,2.3,8,1,7.3,8,1,0.0,8,1
2021/11/26,12.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.0,8,1,8.2,8,1,0.0,8,1
2021/11/27,9.6,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,3.7,8,1,5.6,8,1,0.3,8,1
2021/11/28,8.9,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,2.9,8,1,5.6,8,1,0.0,8,1
2021/11/29,8.1,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,1.6,8,1,6.3,8,1,5.0,8,1
2021/11/30,11.0,8,1,6.0,0,8,1,7.6,0,8,1,0,1,8,1,2.1,8,1,9.8,8,1,3.8,8,1
2021/12/1,15.5,8,1,54.5,0,8,1,5.6,0,8,1,0,1,8,1,3.6,8,1,12.4,8,1,7.3,8,1
2021/12/2,10.1,8,1,0.0,0,8,1,8.9,0,8,1,0,1,8,1,2.6,8,1,5.4,8,1,2.3,8,1
2021/12/3,9.7,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,2.1,8,1,7.0,8,1,1.0,8,1
2021/12/4,9.9,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,1.6,8,1,6.6,8,1,0.0,8,1
2021/12/5,8.6,8,1,0,1,8,1,7.1,0,8,1,0,1,8,1,2.6,8,1,5.7,8,1,5.3,8,1
2021/12/6,8.9,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,2.4,8,1,7.6,8,1,10.0,8,1
2021/12/7,11.8,8,1,9.5,0,8,1,0.0,0,8,1,0,1,8,1,2.4,8,1,11.8,8,1,10.0,8,1
2021/12/8,9.5,8,1,36.5,0,8,1,0.0,0,8,1,0,1,8,1,3.6,8,1,11.0,8,1,10.0,8,1
2021/12/9,10.2,8,1,0.0,0,8,1,7.0,0,8,1,0,1,8,1,2.8,8,1,8.2,8,1,7.3,8,1
2021/12/10,8.6,8,1,0,1,8,1,4.8,0,8,1,0,1,8,1,2.0,8,1,7.7,8,1,10.0,8,1
2021/12/11,9.4,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,1.5,8,1,8.5,8,1,0.8,8,1
2021/12/12,11.3,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,1.7,8,1,9.6,8,1,7.0,8,1
2021/12/13,9.7,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,3.7,8,1,5.5,8,1,0.3,8,1
2021/12/14,5.1,8,1,5.5,0,8,1,0.8,0,8,1,0,1,8,1,2.1,8,1,6.7,8,1,7.3,8,1
2021/12/15,7.6,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,1.2,8,1,7.4,8,1,0.0,8,1
2021/12/16,9.5,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,1.7,8,1,8.0,8,1,5.8,8,1
2021/12/17,8.7,8,1,6.0,0,8,1,0.4,0,8,1,0,1,8,1,2.8,8,1,9.1,8,1,7.5,8,1
2021/12/18,4.5,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,4.1,8,1,3.3,8,1,0.0,8,1
2021/12/19,4.3,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,1.4,8,1,4.4,8,1,0.0,8,1
2021/12/20,6.4,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.0,8,1,5.7,8,1,3.0,8,1
2021/12/21,8.2,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,1.6,8,1,7.2,8,1,0.0,8,1
2021/12/22,8.8,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,3.5,8,1,5.6,8,1,2.0,8,1
2021/12/23,8.3,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,3.5,8,1,4.5,8,1,2.5,8,1
2021/12/24,8.0,8,1,0.5,0,8,1,8.8,0,8,1,0,1,8,1,1.8,8,1,6.3,8,1,4.0,8,1
2021/12/25,8.3,8,1,3.5,0,8,1,4.5,0,8,1,0,1,8,1,2.2,8,1,7.5,8,1,9.3,8,1
2021/12/26,3.5,8,1,0.0,0,8,1,7.8,0,8,1,0,1,8,1,3.9,8,1,2.8,8,1,4.0,8,1
2021/12/27,2.7,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,2.0,8,1,2.9,8,1,0.5,8,1
2021/12/28,3.8,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,2.4,8,1,3.8,8,1,0.0,8,1
2021/12/29,4.2,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,1.6,8,1,4.5,8,1,7.0,8,1
2021/12/30,6.5,8,1,0.0,0,8,1,7.5,0,8,1,0,1,8,1,2.0,8,1,5.0,8,1,2.3,8,1
2021/12/31,3.2,8,1,0,1,8,1,3.7,0,8,1,0,1,8,1,3.0,8,1,3.9,8,1,4.3,8,1
2022/1/1,3.4,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,4.1,8,1,2.5,8,1,0.0,8,1
2022/1/2,3.5,8,1,0,1,8,1,6.2,0,8,1,0,1,8,1,2.0,8,1,4.2,8,1,2.5,8,1
2022/1/3,5.5,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,2.2,8,1,5.0,8,1,0.3,8,1
2022/1/4,5.2,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,2.5,8,1,4.7,8,1,0.3,8,1
2022/1/5,4.1,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,3.5,8,1,3.0,8,1,2.5,8,1
2022/1/6,0.7,8,1,6.5,0,8,1,0.0,0,8,1,10,0,8,1,2.0,8,1,4.6,8,1,7.8,8,1
2022/1/7,2.6,8,1,0,1,8,1,8.9,0,8,1,9,0,8,1,2.6,8,1,4.4,8,1,0.3,8,1
2022/1/8,4.5,8,1,0,1,8,1,8.9,0,8,1,1,0,8,1,1.9,8,1,4.4,8,1,1.0,8,1
2022/1/9,6.3,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,1.5,8,1,4.8,8,1,5.0,8,1
2022/1/10,7.7,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,2.0,8,1,6.4,8,1,9.8,8,1
2022/1/11,5.7,8,1,16.0,0,8,1,0.0,0,8,1,0,1,8,1,1.9,8,1,8.3,8,1,10.0,8,1
2022/1/12,5.0,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,3.5,8,1,4.0,8,1,0.0,8,1
2022/1/13,5.7,8,1,0,1,8,1,6.9,0,8,1,0,1,8,1,3.6,8,1,4.0,8,1,5.5,8,1
2022/1/14,4.4,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,4.5,8,1,3.0,8,1,0.0,8,1
2022/1/15,5.5,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,3.0,8,1,3.6,8,1,7.5,8,1
2022/1/16,5.4,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,1.6,8,1,5.4,8,1,0.0,8,1
2022/1/17,6.0,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,1.5,8,1,5.4,8,1,7.3,8,1
2022/1/18,4.4,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,3.8,8,1,3.2,8,1,0.3,8,1
2022/1/19,3.7,8,1,0,1,8,1,5.4,0,8,1,0,1,8,1,2.4,8,1,3.5,8,1,2.3,8,1
2022/1/20,3.4,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,3.4,8,1,4.0,8,1,0.0,8,1
2022/1/21,3.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,3.9,8,1,3.2,8,1,1.0,8,1
2022/1/22,4.5,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,2.4,8,1,3.6,8,1,2.5,8,1
2022/1/23,5.1,8,1,0.0,0,8,1,1.5,0,8,1,0,1,8,1,1.9,8,1,4.7,8,1,9.5,8,1
2022/1/24,6.4,8,1,0.0,0,8,1,8.3,0,8,1,0,1,8,1,2.6,8,1,5.1,8,1,7.0,8,1
2022/1/25,5.2,8,1,0.0,0,8,1,6.8,0,8,1,0,1,8,1,1.9,8,1,5.1,8,1,5.0,8,1
2022/1/26,5.5,8,1,0.0,0,8,1,3.5,0,8,1,0,1,8,1,1.9,8,1,7.5,8,1,5.8,8,1
2022/1/27,6.8,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,3.1,8,1,4.9,8,1,5.8,8,1
2022/1/28,6.6,8,1,0,1,8,1,3.6,0,8,1,0,1,8,1,2.5,8,1,4.0,8,1,7.3,8,1
2022/1/29,5.9,8,1,0,1,8,1,4.8,0,8,1,0,1,8,1,2.2,8,1,4.5,8,1,9.0,8,1
2022/1/30,5.2,8,1,0,1,8,1,4.2,0,8,1,0,1,8,1,2.6,8,1,3.8,8,1,9.0,8,1
2022/1/31,4.9,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,3.3,8,1,3.1,8,1,0.8,8,1
2022/2/1,5.6,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,2.5,8,1,4.2,8,1,0.8,8,1
2022/2/2,5.5,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,2.5,8,1,3.9,8,1,0.5,8,1
2022/2/3,5.8,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,1.8,8,1,3.8,8,1,5.0,8,1
2022/2/4,4.9,8,1,0,1,8,1,1.0,0,8,1,0,1,8,1,1.9,8,1,4.3,8,1,7.5,8,1
2022/2/5,3.5,8,1,0,1,8,1,6.1,0,8,1,0,1,8,1,3.5,8,1,3.4,8,1,2.5,8,1
2022/2/6,2.3,8,1,0,1,8,1,5.2,0,8,1,0,1,8,1,2.3,8,1,3.1,8,1,2.5,8,1
2022/2/7,4.5,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,2.4,8,1,2.9,8,1,1.8,8,1
2022/2/8,5.3,8,1,0,1,8,1,3.6,0,8,1,0,1,8,1,2.0,8,1,5.0,8,1,9.3,8,1
2022/2/9,6.2,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.6,8,1,4.7,8,1,6.5,8,1
2022/2/10,2.3,8,1,27.0,0,8,1,0.0,0,8,1,2,0,8,1,2.6,8,1,6.4,8,1,10.0,8,1
2022/2/11,4.1,8,1,2.5,0,8,1,8.7,0,8,1,2,0,8,1,2.8,8,1,6.2,8,1,4.8,8,1
2022/2/12,4.7,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,1.9,8,1,5.2,8,1,5.0,8,1
2022/2/13,3.1,8,1,22.5,0,8,1,0.0,0,8,1,0,1,8,1,1.9,8,1,6.6,8,1,7.5,8,1
2022/2/14,3.9,8,1,3.5,0,8,1,3.5,0,8,1,0,1,8,1,2.2,8,1,6.1,8,1,7.3,8,1
2022/2/15,5.5,8,1,0,1,8,1,5.3,0,8,1,0,1,8,1,1.9,8,1,6.5,8,1,3.3,8,1
2022/2/16,6.0,8,1,0.0,0,8,1,5.8,0,8,1,0,1,8,1,2.4,8,1,5.4,8,1,3.8,8,1
2022/2/17,4.6,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,3.1,8,1,2.8,8,1,3.3,8,1
2022/2/18,5.7,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,3.4,8,1,3.7,8,1,0.0,8,1
2022/2/19,5.0,8,1,6.5,0,8,1,1.0,0,8,1,0,1,8,1,1.8,8,1,6.3,8,1,7.5,8,1
2022/2/20,5.9,8,1,9.0,0,8,1,0.2,0,8,1,0,1,8,1,2.9,8,1,7.1,8,1,7.5,8,1
2022/2/21,4.1,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,3.7,8,1,2.7,8,1,0.0,8,1
2022/2/22,4.4,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,2.3,8,1,3.1,8,1,0.8,8,1
2022/2/23,4.4,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,2.4,8,1,3.1,8,1,2.3,8,1
